WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;RED_JERARQ;RED_TP;FFCC;TIPO_FFCC;METROBUS
LINESTRING (-58.444300175878503 -34.594764003751621,-58.445513235931429 -34.595598508227368);7995;10018;JUSTO, JUAN B. AV.;2602;2700;2601;2699;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;144.75;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.445513235931429 -34.595598508227368,-58.446596484470284 -34.59634340577125);8151;10018;JUSTO, JUAN B. AV.;2702;2800;2701;2799;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;129.24;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.446596484470284 -34.59634340577125,-58.447689876976582 -34.597091607599396);8322;10018;JUSTO, JUAN B. AV.;2802;2900;2801;2899;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;130.19;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.447689876976582 -34.597091607599396,-58.448144966848439 -34.597417888087485,-58.448772910694274 -34.597852485858709);8484;10018;JUSTO, JUAN B. AV.;2902;3000;2901;2999;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;130.37;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.448772910694274 -34.597852485858709,-58.449858760509571 -34.598602788142657);8674;10018;JUSTO, JUAN B. AV.;3002;3100;3001;3099;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;129.81;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.449858760509571 -34.598602788142657,-58.450259617812982 -34.598878351338222,-58.450876037231595 -34.599308780166048);8846;10018;JUSTO, JUAN B. AV.;3102;3200;3101;3199;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;121.83;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.451209660394802 -34.5995287472348,-58.452052300357437 -34.600120415661614);9043;10018;JUSTO, JUAN B. AV.;3222;3300;3221;3299;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;101.40;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.467848237754026 -34.611303795593948,-58.468447888059131 -34.611613941891591);12100;10018;JUSTO, JUAN B. AV.;4902;4950;4901;4949;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;64.87;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.468447888059131 -34.611613941891591,-58.469003988567259 -34.611898113229344);12179;10018;JUSTO, JUAN B. AV.;4952;5000;4951;4999;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;59.96;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.469003988567259 -34.611898113229344,-58.469552324796268 -34.61219014291332);12257;10018;JUSTO, JUAN B. AV.;5002;5050;5001;5049;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;59.82;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.469552324796268 -34.61219014291332,-58.470081221027165 -34.612476152206568);12341;10018;JUSTO, JUAN B. AV.;5052;5100;5051;5099;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;57.96;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.470081221027165 -34.612476152206568,-58.470743494878469 -34.612826118568243,-58.471215832247481 -34.613076000969365);12486;10018;JUSTO, JUAN B. AV.;5102;5200;5101;5199;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;123.52;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.471215832247481 -34.613076000969365,-58.471454872410362 -34.61319823333411,-58.471700522445389 -34.613336053875422,-58.471879481860292 -34.613447230195355,-58.472022876160814 -34.613573111737367,-58.472158929021333 -34.613702723827117,-58.472252900369661 -34.613824506181317);12687;10018;JUSTO, JUAN B. AV.;5202;5300;5201;5299;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;127.78;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.479451743420086 -34.620683191223954,-58.479862241211691 -34.621054863263659,-58.480817665686061 -34.622041532764257);14960;10018;JUSTO, JUAN B. AV.;6002;6200;6001;6199;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;196.04;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.480817665686061 -34.622041532764257,-58.481880611229982 -34.622869074993268);15176;10018;JUSTO, JUAN B. AV.;6202;6300;6201;6299;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;133.90;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.481880611229982 -34.622869074993268,-58.48249879118471 -34.623351668951884,-58.482654466535834 -34.623474183022495);15351;10018;JUSTO, JUAN B. AV.;6302;6400;6301;6399;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;97.68;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.482654466535834 -34.623474183022495,-58.482995047155917 -34.623786046330267,-58.483391401188769 -34.624109484048155);15555;10018;JUSTO, JUAN B. AV.;6402;6500;6401;6499;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;97.68;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.450876037231595 -34.599308780166048,-58.451209660394802 -34.5995287472348);27580;10018;JUSTO, JUAN B. AV.;3202;3220;3201;3219;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;39.14;;AV.JUAN B. JUSTO;DOBLE;2;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.517147594366207 -34.633085336405038,-58.517344725703602 -34.633011406234267,-58.518514271620653 -34.633000620162257,-58.518850068477512 -34.633046572661613);18083;10018;JUSTO, JUAN B. AV.;0;0;9121;9199;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;158.31;;AV.JUAN B. JUSTO;CRECIENTE;1;VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo
LINESTRING (-58.526920732223601 -34.634682946413093,-58.5268494774039 -34.635315117055882);18758;7022;GANA;402;450;401;449;;CALLE;70.43;;GANA;"DECRECIENTE;-1";VÍA LOCAL;;;;Metrobus Juan B. Justo;
LINESTRING (-58.525504778016469 -34.635535331043556,-58.525604858131331 -34.634585741679913);18812;13007;MADERO;340;400;341;399;;CALLE;105.74;;MADERO;CRECIENTE;1;VÍA LOCAL;;;;Metrobus Juan B. Justo
LINESTRING (-58.525444974605286 -34.636114605859497,-58.525494597504341 -34.635706820695574,-58.525504778016469 -34.635535331043556);18966;13007;MADERO;302;338;301;339;;CALLE;64.51;;MADERO;CRECIENTE;1;VÍA LOCAL;;;;Metrobus Juan B. Justo
LINESTRING (-58.5268494774039 -34.635315117055882,-58.526747657352153 -34.636200762513567);18988;7022;GANA;302;400;301;399;;CALLE;98.69;;GANA;"DECRECIENTE;-1";VÍA LOCAL;;;;Metrobus Juan B. Justo;
LINESTRING (-58.525318291056728 -34.637156957968429,-58.525444974605286 -34.636114605859497);19259;13007;MADERO;202;300;201;299;;CALLE;116.21;;MADERO;CRECIENTE;1;VÍA LOCAL;;;;Metrobus Juan B. Justo
LINESTRING (-58.526747657352153 -34.636200762513567,-58.526628324522498 -34.637251985622335);19291;7022;GANA;202;300;201;299;;CALLE;117.13;;GANA;"DECRECIENTE;-1";VÍA LOCAL;;;;Metrobus Juan B. Justo;
LINESTRING (-58.525191689037783 -34.638198605479708,-58.525318291056728 -34.637156957968429);19549;13007;MADERO;102;200;101;199;;CALLE;116.14;;MADERO;CRECIENTE;1;VÍA LOCAL;;;;Metrobus Juan B. Justo
LINESTRING (-58.525850207899538 -34.638247281928713,-58.525191689037783 -34.638198605479708);19554;23054;VIEDMA, FRANCISCO de;6802;6850;6801;6849;;CALLE;60.62;;FRANCISCO DE VIEDMA;"DECRECIENTE;-1";VÍA LOCAL;;;;Metrobus Juan B. Justo;
LINESTRING (-58.526509835274723 -34.638296024666069,-58.525850207899538 -34.638247281928713);19566;23054;VIEDMA, FRANCISCO de;6852;6900;6851;6899;;CALLE;60.72;;FRANCISCO DE VIEDMA;"DECRECIENTE;-1";VÍA LOCAL;;;;Metrobus Juan B. Justo;
LINESTRING (-58.526628324522498 -34.637251985622335,-58.526509835274723 -34.638296024666069);19567;7022;GANA;102;200;101;199;;CALLE;116.33;;GANA;"DECRECIENTE;-1";VÍA LOCAL;;;;Metrobus Juan B. Justo;
LINESTRING (-58.519663696332856 -34.633588769431071,-58.519259578144457 -34.633459798350238,-58.518682661066002 -34.633316186571477,-58.518211615671675 -34.633245554479494,-58.518012909679861 -34.633223883479033);29871;10018;JUSTO, JUAN B. AV.;9152;9200;0;0;17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:;AVENIDA;157.24;;AV.JUAN B. JUSTO;"DECRECIENTE;-1";VÍA DISTRIBUIDORA PRINCIPAL;SI;;;Metrobus Juan B. Justo;
